Title,Location,Salary,summary
Project Analyst (1 year fixed term contract),대한민국,정규직,1 year fixed term contract) AVEVA... role would be under 1 year fixed term contract... start. Order Entry...
Wireless Communication Account Manager,서울,정규직,maintaining... satisfaction. Maintains positive ongoing long- term relationships with key customers. Proactively acts...
"GWS, Receptionist",서울,정규직,set results and deadlines. Errors in judgment may cause short- term impact to co-workers and supervisor. CBRE GWS CBRE Global...
Risk Manager,서울,정규직,"global objectives to develop relevant short term and longer- term business plans/projects, share regulatory knowledge..."
TGS Korea Business Partner,서울,정규직,"key driver goals, short- and long- term roadmaps, key personnel, etc. Establish... vision and long- term thinking..."
Machine Learning Engineer,서울,"연봉 51,969,100원 - 77,953,600원정규직","environment * Ability to deliver short term results while invest in long term strategic solutions * Self-starter, and Self..."
OTC 마케팅 (제약회사),서울 강남구,"연봉 50,000,000원 - 80,000,000원정규직","Lead development of annual, and long term brand/business planning to achieve volume... short and long term business objectives..."
Business Strategy Consultant,서울 영등포구,정규직,transform the Customers.– Business Relationship : Build long term client relationship and engage in business development...
PSR,부산광역시,정규직,phone calls or emails. Employee Status: Temporary (Fixed Term) Relocation: No relocation VISA Sponsorship: Travel...
IMC- PR Mgr,서울 강남구,,자격요건 담당직무 1.Draft and develop competitive short & long term digital strategy 2. Improve digital media spending effectiveness...
Enterprise Office Manager (Fixed Term),서울,정규직,critical to success... position... position is a fixed- term 12 month contrac Here’s What You’ll Do: General Office...
Korea - Nike App Director,서울,정규직,"aligned... season Gender/Sports offense, both short and long term. You will also collaborate with Member Growth/DSM..."
GIB- DCM - Executive Director- Korea,서울,정규직,"do. We strive to build trusted, long- term partnerships to help our clients achieve... build trusted, long- term partnerships..."
Sales Support Specialist (1-year fixed term),경기도 화성,,products and service to our clients. 1-year fixed term contract (October 2022 ~ September 2023) /Responsibilities...
Sr. HR Generalist (Fixed-Term),서울,정규직,"effectiveness, and controls and compliance... role is a fixed- term position for 6 months. Here’s What You’ll Do: Foster..."
[Montblanc] PR Communication Manager,서울,,Strategy/ Budget Management • Develop and implement the long- term and yearly PR & communication strategies and analyse...
LG Key Account Manager,서울,,customer and DuPont supply chains Establish a short- term & long- term demand signal in consideration of forecasts...
Inventory Control Analyst (Fixed Term : 2022 to Aug 2023),서울,,Overview... Inventory Control Analyst position (reporting... Logistics Mgr... support the Logistics team...
